record,name,record_kind,group,tier,line,side1_code,side2_code,action_category,ai_dispatch_side1,ai_dispatch_side2,native_levels,movement,kill_reward,lv1_experience,lv1_attack,lv1_defense,lv1_max_life,lv2_experience,lv2_attack,lv2_defense,lv2_max_life,lv3_experience,lv3_attack,lv3_defense,lv3_max_life,post3_experience_step,post3_attack_step,post3_defense_step,post3_max_life_step,post3_growth_table,promotion_eligible,promotion_trigger_experience,promotion_from,promotion_to,shooting_min_range,shooting_max_range,shooting_damage,shooting_experience,technique_tier1,technique_tier2,technique_tier3,ordinary_hit_status,class_traits,movement_profile,terrain_defense_profile,movement_rules,terrain_defense_percents
15,飛龍騎士,ordinary_catalog,T4,4,騎兵線,0F,0F,ordinary,ordinary,ordinary,10|11|12,10,40,0,92,44,375,550,96,45,400,1100,100,46,425,550,2,0,15,class_specific,no,,飛馬戰士,,,,,,,,,,攻後再移動,4,2,99|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|99|1|1|1|1|1,99|10|5|15|20|25|5|10|5|5|5|20|10|10|5|15|5|10|5|10|5|5|1
16,獸騎士,ordinary_catalog,T4,4,騎兵線,1E,1E,ordinary,ordinary,ordinary,10|11|12,13,40,0,80,50,400,510,84,54,450,1020,88,58,500,510,1,0,50,class_specific,no,,陸戰騎士,,,,,,,,,攻擊下降,命中降攻,7,3,99|1|1|3|3|2|2|99|3|4|1|99|99|1|2|3|1|99|2|2|1|1|1,99|10|5|20|30|50|10|15|10|10|5|40|15|15|10|20|5|15|10|15|10|10|1
17,獸骨騎士,ordinary_catalog,T4,4,騎兵線,2E,2E,ordinary,ordinary,ordinary,10|11|12,12,40,0,87,48,400,520,96,49,420,1040,105,50,440,520,4,0,10,class_specific,no,,陸戰騎士,,,,,,,,,,以牙還牙,6,0,99|1|1|3|3|5|2|99|3|4|1|99|99|1|2|3|1|99|2|2|1|1|1,99|10|5|20|30|40|10|15|10|10|5|40|15|15|10|20|5|15|10|15|10|10|1
18,迅龍騎士,ordinary_catalog,T4,4,騎兵線,0E,0E,ordinary,ordinary,ordinary,10|11|12,15,40,0,84,48,400,500,89,50,430,1000,94,52,460,500,2,0,20,class_specific,no,,陸戰騎士,,,,,,,,,,免疫物理射擊,6,0,99|1|1|3|3|5|2|99|3|4|1|99|99|1|2|3|1|99|2|2|1|1|1,99|10|5|20|30|40|10|15|10|10|5|40|15|15|10|20|5|15|10|15|10|10|1
19,巨龍騎士,ordinary_catalog,T4,4,騎兵線,3E,3E,technique,technique,technique,10|11|12,11,40,0,80,48,400,530,82,51,425,1060,84,54,450,530,1,0,20,class_specific,no,,陸戰騎士,,,,,,龍踏1D,男踏2D,女踏3D,,龍踏技術,6,0,99|1|1|3|3|5|2|99|3|4|1|99|99|1|2|3|1|99|2|2|1|1|1,99|10|5|20|30|40|10|15|10|10|5|40|15|15|10|20|5|15|10|15|10|10|1
20,弓兵,ordinary_catalog,T2,2,弓兵線,3A,3A,shooting,shooting,shooting,4|5|6,6,25,0,48,28,200,190,49,30,220,380,50,32,240,100,1,0,10,default,yes,480,士兵,弩兵|魔弓兵,2,5,30..49 to selected target,"kill reward + 8 flat (0000:7290 has no add cx,ax, so the DX=4 roll is discarded; CX still holds the death-scan total from 1747:000C+7A)",,,,,,3,0,99|2|1|3|4|5|2|98|3|4|1|4|98|1|2|3|1|99|2|2|2|1|1,99|10|5|20|30|40|10|15|10|10|5|40|15|15|10|20|5|15|10|15|10|10|1
21,弩兵,ordinary_catalog,T3,3,弓兵線,0I,0I,shooting,shooting,shooting,8|9|10,8,40,0,52,37,270,450,53,38,295,900,54,39,320,450,0,0,15,class_specific,no,,弓兵,,2,8,70..89 to selected target,"kill reward + 13 flat (0000:72B0, same shape as 3A, discarding the DX=5 roll)",,,,,,3,0,99|2|1|3|4|5|2|98|3|4|1|4|98|1|2|3|1|99|2|2|2|1|1,99|10|5|20|30|40|10|15|10|10|5|40|15|15|10|20|5|15|10|15|10|10|1
22,騎兵,ordinary_catalog,T2,2,騎兵線,1A,1A,ordinary,ordinary,ordinary,4|5|6,8,20,0,55,30,200,180,60,33,230,360,65,36,260,100,1,0,10,default,yes,460,士兵,陸戰騎士|飛馬戰士,,,,,,,,,,6,0,99|1|1|3|3|5|2|99|3|4|1|99|99|1|2|3|1|99|2|2|1|1|1,99|10|5|20|30|40|10|15|10|10|5|40|15|15|10|20|5|15|10|15|10|10|1
23,飛馬戰士,ordinary_catalog,T3,3,騎兵線,1B,1B,ordinary,ordinary,ordinary,7|8|9,8,30,0,70,38,300,420,75,40,320,840,80,42,340,100,1,0,10,default,yes,940,騎兵,飛龍騎士|妖龍騎士,,,,,,,,,,4,2,99|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|99|1|1|1|1|1,99|10|5|15|20|25|5|10|5|5|5|20|10|10|5|15|5|10|5|10|5|5|1
24,修女,ordinary_catalog,T2,2,修女線,4A,4A,technique,technique,technique,4|5|6,5,25,0,47,30,200,210,48,31,215,420,49,32,230,100,1,0,10,default,yes,520,士兵,僧侶|祭司|魔術士,,,,,初級炎暴1F、初級治療1H,初級炎暴1F、初級治療1H,初級炎暴1F、初級治療1H,,,3,0,99|2|1|3|4|5|2|98|3|4|1|4|98|1|2|3|1|99|2|2|2|1|1,99|10|5|20|30|40|10|15|10|10|5|40|15|15|10|20|5|15|10|15|10|10|1
25,僧侶,ordinary_catalog,T3,3,修女線,0D,0D,technique,technique,technique,7|8|9,6,35,0,50,34,250,330,51,35,270,660,52,36,290,100,1,0,10,default,yes,760,修女,祈導師|魔導師,,,,,初級治療1H、初級回復1I,初級治療1H、初級回復1I,初級治療1H、初級回復1I,,,3,0,99|2|1|3|4|5|2|98|3|4|1|4|98|1|2|3|1|99|2|2|2|1|1,99|10|5|20|30|40|10|15|10|10|5|40|15|15|10|20|5|15|10|15|10|10|1
26,水戰士,ordinary_catalog,非轉職,,,0N,0N,ordinary,ordinary,ordinary,8|9|10,8,40,0,50,32,275,360,52,34,290,720,54,36,305,360,1,0,10,class_specific,no,,,,,,,,,,,,近戰受擊分裂,8,4,99|2|1|3|4|5|2|3|1|1|1|4|99|1|2|3|1|99|2|2|2|1|1,99|10|5|20|30|40|10|15|40|40|5|40|15|15|10|20|5|15|10|15|10|10|1
27,神劍戰士,ordinary_catalog,T3,3,戰士線,0C,0C,ordinary,ordinary,ordinary,7|8|9,8,30,0,72,41,330,450,79,43,345,900,86,45,360,100,1,0,10,default,yes,1000,戰士,巨斧戰士|魔劍戰士|邪劍戰士,,,,,,,,,,1,0,99|2|1|3|4|5|2|99|3|4|1|4|99|1|2|3|1|99|2|2|2|1|1,99|10|5|20|30|40|10|15|10|10|5|40|15|15|10|20|5|15|10|15|10|10|1
28,戰士,ordinary_catalog,T2,2,戰士線,2A,2A,ordinary,ordinary,ordinary,4|5|6,6,20,0,50,32,200,200,56,36,240,400,62,40,280,100,1,0,10,default,yes,500,士兵,神劍戰士|鋼甲戰士,,,,,,,,,,1,0,99|2|1|3|4|5|2|99|3|4|1|4|99|1|2|3|1|99|2|2|2|1|1,99|10|5|20|30|40|10|15|10|10|5|40|15|15|10|20|5|15|10|15|10|10|1
29,鋼甲戰士,ordinary_catalog,T3,3,戰士線,1C,0C,ordinary,ordinary,ordinary,7|8|9,7,30,0,66,45,330,430,69,50,375,860,72,55,420,100,1,0,10,default,yes,960,戰士,叢林戰士|魔鎧戰士,,,,,,,,,,1,0,99|2|1|3|4|5|2|99|3|4|1|4|99|1|2|3|1|99|2|2|2|1|1,99|10|5|20|30|40|10|15|10|10|5|40|15|15|10|20|5|15|10|15|10|10|1
30,祭司,ordinary_catalog,T3,3,修女線,1D,1D,technique,technique,technique,7|8|9,7,35,0,50,35,250,340,51,36,265,680,52,37,280,100,1,0,10,default,yes,780,修女,魔祭師|咒術師,,,,,初級炎暴1F、初級回復1I,初級炎暴1F、初級回復1I,初級炎暴1F、初級回復1I,,,3,0,99|2|1|3|4|5|2|98|3|4|1|4|98|1|2|3|1|99|2|2|2|1|1,99|10|5|20|30|40|10|15|10|10|5|40|15|15|10|20|5|15|10|15|10|10|1
31,巫師,ordinary_catalog,T4,4,修女線,2L,2L,technique,technique,technique,10|11|12,8,45,0,53,36,290,600,54,37,310,1200,55,38,330,600,0,0,8,class_specific,no,,魔術士,,,,,,中級冰雪2C,高級冰雪3C,究級冰雪4C,,,3,0,99|2|1|3|4|5|2|98|3|4|1|4|98|1|2|3|1|99|2|2|2|1|1,99|10|5|20|30|40|10|15|10|10|5|40|15|15|10|20|5|15|10|15|10|10|1
32,魔法師,ordinary_catalog,T4,4,修女線,1L,1L,technique,technique,technique,10|11|12,8,45,0,53,36,290,600,54,37,310,1200,55,38,330,600,0,0,8,class_specific,no,,魔術士,,,,,,中級落雷2L,高級落雷3L,究級落雷4L,,,3,0,99|2|1|3|4|5|2|98|3|4|1|4|98|1|2|3|1|99|2|2|2|1|1,99|10|5|20|30|40|10|15|10|10|5|40|15|15|10|20|5|15|10|15|10|10|1
33,邪劍戰士,ordinary_catalog,T4,4,戰士線,2G,2G,ordinary,ordinary,ordinary,10|11|12,9,40,0,92,47,380,560,100,50,415,1120,108,53,450,560,5,0,15,class_specific,no,,神劍戰士,,,,,,,,,混亂,命中混亂,1,0,99|2|1|3|4|5|2|99|3|4|1|4|99|1|2|3|1|99|2|2|2|1|1,99|10|5|20|30|40|10|15|10|10|5|40|15|15|10|20|5|15|10|15|10|10|1
34,工兵,ordinary_catalog,非轉職,,,5A,5A,technique,ordinary,ordinary,4|5|6,8,25,0,48,32,200,170,50,34,225,340,52,36,250,170,1,0,10,class_specific,no,,,,,,,,鐵板1K、障礙2K,鐵板1K、障礙2K,鐵板1K、障礙2K,,,9,0,99|2|1|3|2|5|2|1|2|2|1|2|99|1|2|3|1|99|2|2|2|1|1,99|10|5|20|30|40|10|15|10|10|5|40|15|15|10|20|5|15|10|15|10|10|1
35,女帝,special_runtime,特殊運行,,,0P,0P,special_runtime,empressOrDragonTechnique,empressOrDragonTechnique,12|12|12,10,,0,10,10,10,1200,10,10,10,1300,10,10,10,100,1,0,10,default,no,,,,,,,,,,,,,10,5,99|0|0|0|0|0|0|99|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1,99|0|0|0|0|0|0|99|0|10|0|0|0|0|0|0|0|0|0|0|0|0|1
36,龍,special_runtime,特殊運行,,,1P,1P,special_runtime,empressOrDragonTechnique,empressOrDragonTechnique,12|13|14,10,,0,150,75,2000,1000,200,80,2400,2000,250,85,2800,100,1,0,10,default,no,,,,,,,,,,,,,4,6,99|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|99|1|1|1|1|1,99|1|1|1|1|1|1|1|1|10|1|1|1|1|1|1|1|99|1|1|1|1|1
37,頭,special_runtime,特殊運行,,,2P,2P,special_runtime,stage37BossPart,stage37BossPart,15|16|17,1,,0,180,100,4000,2000,240,110,5000,4000,300,120,6000,100,1,0,10,default,no,,,,,,,,,,,,,11,7,99|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,99|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
38,手,special_runtime,特殊運行,,,3P,3P,special_runtime,stage37BossPart,stage37BossPart,14|15|16,1,,0,200,90,3000,1500,300,95,3600,3000,400,100,4200,100,1,0,10,default,no,,,,,,,,,,,,,12,8,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
